Model_number	Min_Scale_V	Max_Scale_V	Mean_Scale_V	RMS_Scale_V	Min	Max	Mean	RMS	Min_Scale_tt	Max_Scale_tt	Mean_Scale_tt	RMS_Scale_tt	Min_Scale_tr	Max_Scale_tr	Mean_Scale_tr	RMS_Scale_tr
75	-0.461559554214	0.267589810742	-0.00250404479894	0.0495586725229	-121.159382981	70.2423253198	-0.657311759723	13.0091515373	-0.341670173835	0.239714041762	-0.00104489250453	0.0477025911915	-0.126587718491	0.206786090942	1.07934117777e-15	0.0309587081922
253	-0.196669185241	0.270376489544	-0.00189697386216	0.0420173995335	-51.6256611258	70.9738285053	-0.497955638818	11.0295673776	-0.206729887081	0.212682033202	-6.1196654836e-05	0.0401209337567	-0.18029938205	0.277587542913	8.61311530325e-16	0.0389799580882
4	-0.264737958471	0.265016885384	-0.00207648023556	0.0462201125134	-69.4937140987	69.5669324132	-0.545076061834	12.1327795348	-0.221584236818	0.202121290314	-0.000398882735594	0.0427749077858	-0.144644410184	0.223279461588	-7.02125607512e-16	0.0327397499851
284	-0.233232416625	0.365717904377	-0.00203313524633	0.0456737749746	-61.2235093642	96.0009498989	-0.53369800216	11.9893659308	-0.367037921007	0.253842552055	-0.00118912030811	0.0445978241154	-0.14682474068	0.263880234742	-8.18376876335e-16	0.0363044815026
152	-0.175479252485	0.248685724601	-0.00186087972524	0.0417447364484	-46.0633037773	65.2800027076	-0.488480927877	10.9579933177	-0.217131822566	0.181174879828	-0.000342637186167	0.0397994738284	-0.155121061239	0.237613279957	9.56218459981e-16	0.0371549753013
159	-0.207316212472	0.281631633624	-0.00145828972765	0.0427727507733	-54.4205057739	73.9283038262	-0.382801053508	11.227847078	-0.227628129934	0.225143913469	0.000344349484072	0.0410570595638	-0.167327248047	0.257562803959	-8.39846980475e-15	0.0396531748141
170	-0.27260853358	0.456207294549	-0.00166747319044	0.0484572558218	-71.5597400647	119.754414819	-0.437711712489	12.7200296532	-0.213840415074	0.222955386221	-0.000610042686506	0.0438098182561	-0.146083826813	0.207266678797	6.03735345181e-16	0.0326741224362
198	-0.252415653657	0.450930612626	-0.00219336329799	0.0446086818845	-66.259109085	118.369285814	-0.575757865721	11.7097789947	-0.223773774962	0.259362763763	-0.000369154723656	0.0432874512397	-0.128666093737	0.205577545391	3.94513213153e-16	0.0349231170081
264	-0.924548407451	0.264126985952	-0.00171787352758	0.0454763287687	-242.693956956	69.3333338123	-0.45094180099	11.9375363018	-0.198457107394	0.210315544295	0.00030939894551	0.0402038724517	-0.180269550878	0.262598448889	-1.83420079201e-15	0.0393678940464
124	-0.264356760257	0.272286722199	-0.00193851333515	0.0437982826258	-69.3936495676	71.4752645773	-0.508859750476	11.4970491893	-0.206994707356	0.211352285696	-0.000154813719347	0.0412370210209	-0.150791507658	0.234867650509	-1.47918650837e-16	0.0362988854588
102	-0.669696712677	0.282748771512	-0.00317402321634	0.0519786977346	-175.795387078	74.2215525218	-0.833181094289	13.6444081553	-0.255395018073	0.294171907881	-0.00112250045899	0.0488150934181	-0.134173030242	0.188598884918	-1.32025846326e-15	0.0300380798455
186	-0.368421691142	0.331202208402	-0.00151647301222	0.049919083744	-96.7106939247	86.9405797055	-0.398074165707	13.1037594828	-0.409815058304	0.507566089374	-0.000475644035614	0.0499425605552	-0.138154566707	0.23523617319	-2.50872158318e-15	0.0306808886277
139	-0.260853496624	0.264297965008	-0.00204804617553	0.0445041063343	-68.4740428639	69.3782158145	-0.537612121077	11.6823279127	-0.266390442668	0.221204002967	-0.000516098683398	0.0424161956574	-0.141839847195	0.262274697672	3.106148843e-15	0.0343277291274
72	-0.293137759996	0.341299272214	-0.00168367315883	0.050863135417	-76.9486619989	89.5910589563	-0.441964204193	13.351573047	-0.261083376222	0.241444154508	-0.000834778270956	0.0465490771683	-0.126556698817	0.190216052169	-4.58641447037e-16	0.0309761222205
172	-0.279521491536	0.316575340147	-0.00232469603491	0.0480490387686	-73.3743915282	83.1010267885	-0.610232709164	12.6128726768	-0.302556285973	0.292026556643	0.000633911165856	0.0459259541891	-0.132206880991	0.188562346243	9.48823320909e-16	0.0329982803749
